Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_79_27,VPWR,li1,17.9400,217.6000,1.800000
FILLER_79_15,VPWR,li1,12.4200,217.6000,1.800000
FILLER_79_3,VPWR,li1,6.9000,217.6000,1.800000
FILLER_78_701,VPWR,li1,327.9800,217.6000,1.800000
FILLER_78_699,VPWR,li1,324.5300,217.6000,1.800000
FILLER_78_693,VPWR,li1,322.9200,217.6000,1.800000
FILLER_78_681,VPWR,li1,318.7800,217.6000,1.800000
FILLER_78_669,VPWR,li1,313.2600,217.6000,1.800000
FILLER_78_657,VPWR,li1,307.7400,217.6000,1.800000
FILLER_78_645,VPWR,li1,302.2200,217.6000,1.800000
FILLER_78_643,VPWR,li1,298.7700,217.6000,1.800000
FILLER_78_637,VPWR,li1,297.1600,217.6000,1.800000
FILLER_78_625,VPWR,li1,293.0200,217.6000,1.800000
FILLER_78_613,VPWR,li1,287.5000,217.6000,1.800000
FILLER_78_601,VPWR,li1,281.9800,217.6000,1.800000
FILLER_78_589,VPWR,li1,276.4600,217.6000,1.800000
FILLER_78_585,VPWR,li1,272.5500,217.6000,1.800000
FILLER_78_577,VPWR,li1,270.0200,217.6000,1.800000
FILLER_78_565,VPWR,li1,265.4200,217.6000,1.800000
FILLER_78_545,VPWR,li1,254.8400,217.6000,1.800000
FILLER_78_533,VPWR,li1,250.7000,217.6000,1.800000
FILLER_78_490,VPWR,li1,228.3900,217.6000,1.799999
FILLER_78_486,VPWR,li1,227.2400,217.6000,1.799999
FILLER_78_418,VPWR,li1,195.5000,217.6000,1.799999
FILLER_78_397,VPWR,li1,185.6100,217.6000,1.799999
FILLER_78_393,VPWR,li1,184.4600,217.6000,1.799999
FILLER_78_343,VPWR,li1,160.7700,217.6000,1.799999
FILLER_78_339,VPWR,li1,159.6200,217.6000,1.799999
FILLER_78_286,VPWR,li1,134.7800,217.6000,1.799999
FILLER_78_251,VPWR,li1,118.4500,217.6000,1.799999
FILLER_78_190,VPWR,li1,91.5400,217.6000,1.799999
FILLER_78_139,VPWR,li1,66.9300,217.6000,1.799999
FILLER_78_97,VPWR,li1,47.6100,217.6000,1.799999
FILLER_78_85,VPWR,li1,44.6200,217.6000,1.799999
FILLER_78_83,VPWR,li1,41.1700,217.6000,1.799999
FILLER_78_77,VPWR,li1,39.5600,217.6000,1.799999
FILLER_78_65,VPWR,li1,35.4200,217.6000,1.800000
