net,length_um
scan_chain.scan_cells\[13\].scan_cell.data_out,33.76µm
scan_chain.scan_cells\[6\].scan_cell.primary_ff,32.96µm
scan_chain.scan_cells\[11\].scan_cell.data_out,32.92µm
scan_chain.scan_cells\[3\].scan_cell.primary_ff,31.58µm
scan_chain.scan_cells\[20\].scan_cell.primary_ff,31.5µm
scan_chain.scan_cells\[4\].scan_cell.primary_ff,31.36µm
scan_chain.scan_cells\[5\].scan_cell.data_out,31.28µm
net2,30.78µm
scan_chain.scan_cells\[21\].scan_cell.data_out,30.5µm
net106,28.32µm
uo_out[0],27.81µm
scan_chain.scan_cells\[17\].scan_cell.data_out,27.8µm
scan_chain.scan_cells\[37\].scan_cell.primary_ff,27.64µm
scan_chain.scan_cells\[20\].scan_cell.data_out,27.56µm
scan_chain.scan_cells\[40\].scan_cell.primary_ff,27.36µm
net4,26.66µm
scan_chain.scan_cells\[23\].scan_cell.primary_ff,26.38µm
scan_chain.scan_cells\[28\].scan_cell.data_out,26µm
scan_chain.scan_cells\[21\].scan_cell.primary_ff,25.98µm
scan_chain.scan_cells\[64\].scan_cell.primary_ff,25.88µm
scan_chain.scan_cells\[54\].scan_cell.primary_ff,25.4µm
net88,24.94µm
scan_chain.scan_cells\[3\].scan_cell.data_out,24.76µm
scan_chain.scan_cells\[22\].scan_cell.primary_ff,24.58µm
scan_chain.scan_cells\[16\].scan_cell.data_out,24.4µm
scan_chain.scan_cells\[2\].scan_cell.primary_ff,23.88µm
scan_chain.scan_cells\[18\].scan_cell.primary_ff,22.8µm
scan_chain.scan_cells\[1\].scan_cell.data_out,22.38µm
net176,22.16µm
scan_chain.scan_cells\[2\].scan_cell.data_out,22µm
scan_chain.scan_cells\[30\].scan_cell.data_out,21.84µm
scan_chain.scan_cells\[8\].scan_cell.data_out,21.38µm
_132_,20.925µm
scan_chain.scan_cells\[10\].scan_cell.primary_ff,20.7µm
scan_chain.scan_cells\[14\].scan_cell.data_out,20.62µm
scan_chain.scan_cells\[1\].scan_cell.primary_ff,20.36µm
scan_chain.scan_cells\[50\].scan_cell.primary_ff,20.32µm
net148,20.24µm
scan_chain.scan_cells\[30\].scan_cell.primary_ff,19.9µm
_185_,19.84µm
_200_,19.38µm
_238_,19.34µm
scan_chain.scan_cells\[0\].scan_cell.primary_ff,19.32µm
scan_chain.scan_cells\[41\].scan_cell.primary_ff,19.06µm
scan_chain.scan_cells\[62\].scan_cell.primary_ff,19.06µm
net178,19.04µm
_146_,18.82µm
scan_chain.scan_cells\[58\].scan_cell.primary_ff,18.68µm
_187_,18.54µm
_241_,18.44µm
net78,17.85µm
scan_chain.scan_cells\[32\].scan_cell.primary_ff,17.78µm
_009_,17.64µm
scan_chain.scan_cells\[7\].scan_cell.primary_ff,17.6µm
_197_,17.58µm
scan_chain.scan_cells\[16\].scan_cell.primary_ff,17.26µm
_011_,17.24µm
net139,17.2µm
net124,16.88µm
_058_,16.84µm
_050_,16.585µm
_025_,16.44µm
scan_chain.scan_cells\[8\].scan_cell.primary_ff,16.38µm
scan_chain.scan_cells\[47\].scan_cell.primary_ff,16.34µm
net138,16.34µm
scan_chain.scan_cells\[28\].scan_cell.primary_ff,16.26µm
_149_,16.2µm
scan_chain.scan_cells\[9\].scan_cell.primary_ff,16.2µm
scan_chain.scan_cells\[48\].scan_cell.primary_ff,16.16µm
net77,16.15µm
scan_chain.scan_cells\[11\].scan_cell.primary_ff,15.88µm
scan_chain.scan_cells\[33\].scan_cell.primary_ff,15.78µm
scan_chain.scan_cells\[49\].scan_cell.primary_ff,15.44µm
scan_chain.scan_cells\[12\].scan_cell.primary_ff,15.38µm
scan_chain.scan_cells\[29\].scan_cell.primary_ff,15.36µm
scan_chain.scan_cells\[15\].scan_cell.primary_ff,15.28µm
scan_chain.scan_cells\[24\].scan_cell.data_out,15.1µm
scan_chain.scan_cells\[25\].scan_cell.primary_ff,14.92µm
net75,14.87µm
net81,14.72µm
net123,14.58µm
_157_,14.54µm
scan_chain.scan_cells\[14\].scan_cell.primary_ff,14.54µm
scan_chain.scan_cells\[7\].scan_cell.data_out,14.44µm
_198_,14.42µm
net73,14.31µm
scan_chain.scan_cells\[68\].scan_cell.primary_ff,14.1µm
_150_,14.08µm
scan_chain.scan_cells\[10\].scan_cell.scan_in,14.08µm
scan_chain.scan_cells\[13\].scan_cell.primary_ff,14.04µm
scan_chain.scan_cells\[43\].scan_cell.primary_ff,14.04µm
net179,13.7µm
scan_chain.scan_cells\[27\].scan_cell.primary_ff,13.6µm
scan_chain.scan_cells\[67\].scan_cell.primary_ff,13.46µm
net87,13.46µm
net110,13.38µm
_231_,13.22µm
_168_,13.2µm
_206_,13.18µm
_195_,13.08µm
_217_,12.96µm
_182_,12.88µm
_082_,12.845µm
_212_,12.76µm
_100_,12.64µm
net66,12.44µm
_179_,12.4µm
net130,12.4µm
